0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,-4416.5283203125,-4473.07763671875,-4504.9619140625,-4486.41064453125,-4467.85888671875,-4449.30712890625,-4417.82421875,-4381.80126953125,-4345.77880859375,-4307.9755859375,-4260.2294921875,-4212.4833984375,-4164.7373046875,-4106.482421875,-4040.09106445313,-3973.69970703125,-3907.30834960937,-3868.56616210938,-3830.52221679687,-3792.47827148437,-3557.57275390625,-3010.97143554687,-2464.37036132812,-1917.76928710938,-1460.37805175781,-1025.45251464844,-590.52685546875,-294.337371826172,-518.282653808594,-742.227905273438,-966.173217773438,-884.1201171875,-616.34423828125,-348.568328857422,-92.9603652954102
2,-4384.96435546875,-4440.50341796875,-4470.46337890625,-4448.12060546875,-4425.77783203125,-4403.4345703125,-4363.54638671875,-4317.498046875,-4271.44970703125,-4221.84228515625,-4152.3603515625,-4082.8779296875,-4013.39599609375,-3932.92993164063,-3843.9599609375,-3754.990234375,-3666.0205078125,-3658.52270507812,-3653.0830078125,-3647.64306640625,-3357.74487304687,-2617.45678710937,-1877.16882324219,-1136.88073730469,-688.443969726563,-313.503112792969,61.4377212524414,333.902709960938,222.176162719727,110.449615478516,-1.27693545818329,38.6999816894531,170.751876831055,302.803741455078,426.054016113281
3,-4358.21875,-4393.1806640625,-4411.78955078125,-4396.96044921875,-4382.130859375,-4367.30126953125,-4327.0537109375,-4277.88232421875,-4228.7109375,-4172.822265625,-4079.43041992188,-3986.03833007812,-3892.64599609375,-3759.52099609375,-3595.63427734375,-3431.74755859375,-3267.86083984375,-3162.03344726562,-3057.67260742188,-2953.3115234375,-2621.5771484375,-1929.8369140625,-1238.09680175781,-546.356567382813,-136.370513916016,202.662246704102,541.695007324219,798.868103027344,749.141540527344,699.4150390625,649.688537597656,655.340698242188,694.6044921875,733.868286132813,766.451843261719
4,-4334.123046875,-4337.74462890625,-4339.81640625,-4338.7197265625,-4337.62255859375,-4336.52587890625,-4300.3447265625,-4251.84765625,-4203.35009765625,-4144.2197265625,-4025.72192382813,-3907.2236328125,-3788.7255859375,-3586.19116210938,-3318.5947265625,-3050.99853515625,-2783.40209960938,-2507.96240234375,-2232.32470703125,-1956.68701171875,-1590.35412597656,-1080.42175292969,-570.489440917969,-60.5570907592773,294.751373291016,611.121337890625,927.491333007812,1174.01147460938,1158.65832519531,1143.30505371094,1127.95178222656,1103.54357910156,1073.63952636719,1043.73547363281,1008.58776855469
5,-4310.02734375,-4282.30859375,-4267.84326171875,-4280.47900390625,-4293.11474609375,-4305.75,-4273.63623046875,-4225.81298828125,-4177.98974609375,-4115.6171875,-3972.01318359375,-3828.4091796875,-3684.80493164062,-3412.861328125,-3041.55517578125,-2670.24926757812,-2298.94311523437,-1853.89135742187,-1406.97680664063,-960.062316894531,-559.131164550781,-231.006637573242,97.1179046630859,425.242431640625,725.873291015625,1019.58044433594,1313.28759765625,1549.15490722656,1568.17504882813,1587.19506835938,1606.21520996094,1551.74658203125,1452.67456054688,1353.60266113281,1250.7236328125
6,-4261.98876953125,-4227.55908203125,-4207.80712890625,-4218.06787109375,-4228.32861328125,-4238.58935546875,-4201.83642578125,-4148.57958984375,-4095.32250976563,-4018.970703125,-3813.6708984375,-3608.37133789062,-3403.07177734375,-3069.14501953125,-2635.63330078125,-2202.12182617187,-1768.61022949219,-1268.23962402344,-766.18017578125,-264.120788574219,115.483619689941,301.202239990234,486.920837402344,672.639465332031,912.222351074219,1165.36962890625,1418.51696777344,1630.55993652344,1688.49865722656,1746.43725585938,1804.3759765625,1755.41760253906,1641.57922363281,1527.74072265625,1411.03479003906
7,-4166.8857421875,-4174.1591796875,-4171.2353515625,-4147.45947265625,-4123.68408203125,-4099.908203125,-4041.40356445313,-3970.70703125,-3900.0107421875,-3788.57250976562,-3449.65502929687,-3110.73754882812,-2771.82006835937,-2390.50805664063,-1976.37365722656,-1562.23913574219,-1148.10473632813,-817.076477050781,-488.147338867188,-159.218185424805,89.130256652832,209.893432617188,330.656616210937,451.419769287109,617.432800292969,794.840942382813,972.2490234375,1134.5771484375,1240.36889648438,1346.16052246094,1451.95227050781,1478.42395019531,1456.75317382813,1435.08239746094,1410.50671386719
8,-4071.78247070313,-4120.7587890625,-4134.6630859375,-4076.85107421875,-4019.03930664063,-3961.22729492187,-3880.970703125,-3792.83471679687,-3704.69897460937,-3558.17431640625,-3085.63891601562,-2613.10375976562,-2140.56860351562,-1711.87133789063,-1317.11389160156,-922.356567382812,-527.599182128906,-365.913360595703,-210.114471435547,-54.3155860900879,62.7768974304199,118.584632873535,174.392364501953,230.200103759766,322.643218994141,424.312133789063,525.981079101563,638.594360351563,792.239074707031,945.8837890625,1099.52856445313,1201.43029785156,1271.92712402344,1342.42395019531,1409.97863769531
9,-3974.42504882813,-4062.38110351563,-4090.81103515625,-3997.52221679688,-3904.2333984375,-3810.94458007813,-3706.80737304688,-3598.861328125,-3490.91552734375,-3308.38134765625,-2709.38696289062,-2110.39233398437,-1511.39782714844,-1040.32153320313,-668.28125,-296.240966796875,75.7992935180664,72.7616882324219,60.250358581543,47.7390289306641,37.8360176086426,32.0628280639648,26.2896366119385,20.5164451599121,42.8568305969238,72.2769775390625,101.697113037109,166.900192260742,366.2568359375,565.613464355469,764.970092773438,938.647155761719,1096.73828125,1254.82934570313,1410.00793457031
10,-3802.322265625,-3838.97119140625,-3805.60717773437,-3629.0810546875,-3452.55493164063,-3276.02880859375,-3077.4296875,-2871.08203125,-2664.73413085937,-2415.58569335937,-1927.46179199219,-1439.33801269531,-951.214294433594,-603.734741210937,-365.143737792969,-126.552772521973,112.038200378418,97.4135208129883,76.3931045532227,55.3726997375488,59.724048614502,104.247093200684,148.770141601563,193.293182373047,260.478485107422,333.370758056641,406.263000488281,500.462463378906,674.544616699219,848.626770019531,1022.70886230469,1146.99475097656,1241.05712890625,1335.11950683594,1428.51159667969
